departamento,codigodanemunicipio,tipoarea,ano,mes,grupoetnico,condicion,estado,genero,latitudcabecera,longitudcabecera,tipoevento,Ubicación,Actividad
CALDAS,17662,Rural,2005,12,No,Civil,Herido,Masculino,5.411801,-74.989572,Accidente por MAP,"(5.411801, -74.989572)",Manipulación
ANTIOQUIA,5736,Urbana,1995,4,No,Fuerza publica,Herido,Masculino,7.080232,-74.698921,Accidente por MAP,"(7.080232, -74.698921)",Fuerza publica
ANTIOQUIA,5736,Urbana,1995,4,No,Fuerza publica,Herido,Masculino,7.080232,-74.698921,Accidente por MAP,"(7.080232, -74.698921)",Fuerza publica
ANTIOQUIA,5055,Rural,2005,3,No,Civil,Muerto,Masculino,5.731577,-75.1416,Accidente por MAP,"(5.731577, -75.1416)","Pasando, estando cerca"
ANTIOQUIA,5055,Rural,2005,3,No,Civil,Herido,Femenino,5.731577,-75.1416,Accidente por MAP,"(5.731577, -75.1416)","Pasando, estando cerca"
ANTIOQUIA,5055,Rural,2005,3,No,Civil,Herido,Masculino,5.731577,-75.1416,Accidente por MAP,"(5.731577, -75.1416)","Pasando, estando cerca"
ANTIOQUIA,5361,Rural,2005,5,No,Civil,Herido,Masculino,7.171637,-75.764403,Accidente por MAP,"(7.171637, -75.764403)",Sin Información
ANTIOQUIA,5361,Rural,2005,5,No,Civil,Herido,Masculino,7.171637,-75.764403,Accidente por MAP,"(7.171637, -75.764403)",Sin Información
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Muerto,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Muerto,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Muerto,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Muerto,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Herido,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Muerto,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
VALLE DEL CAUCA,76111,Rural,2007,2,No,Fuerza publica,Herido,Masculino,3.873333,-76.094444,Accidente por MAP,"(3.873333, -76.094444)",Fuerza publica
ANTIOQUIA,5055,Rural,2002,10,No,Civil,Herido,Masculino,5.731577,-75.1416,Accidente por MAP,"(5.731577, -75.1416)",Agricultura
HUILA,41020,Rural,2006,1,No,Fuerza publica,Herido,Masculino,2.591667,-75.148889,Accidente por MAP,"(2.591667, -75.148889)",Fuerza publica
CUNDINAMARCA,25339,Rural,2003,12,No,Fuerza publica,Herido,Masculino,4.255138,-74.002138,Accidente por MAP,"(4.255138, -74.002138)",Fuerza publica
CAQUETA,18410,Rural,2006,11,No,Civil,Herido,Masculino,1.494944213,-75.46308951,Accidente por MAP,"(1.494944213, -75.46308951)","Pasando, estando cerca"
CESAR,20011,Rural,1994,7,No,Fuerza publica,Muerto,Masculino,8.246159,-73.576768,Accidente por MAP,"(8.246159, -73.576768)",Fuerza publica
CESAR,20011,Rural,1994,7,No,Fuerza publica,Muerto,Masculino,8.246159,-73.576768,Accidente por MAP,"(8.246159, -73.576768)",Fuerza publica
NORTE DE SANTANDER,54398,Rural,2006,5,No,Fuerza publica,Herido,Masculino,8.272,-73.205,Accidente por MAP,"(8.272, -73.205)",Fuerza publica
NORTE DE SANTANDER,54398,Rural,2006,5,No,Fuerza publica,Herido,Masculino,8.272,-73.205,Accidente por MAP,"(8.272, -73.205)",Fuerza publica
ANTIOQUIA,5667,Rural,2002,5,No,Fuerza publica,Herido,Masculino,6.289167,-75.072778,Accidente por MAP,"(6.289167, -75.072778)",Fuerza publica
CAUCA,19256,Rural,2005,8,No,Fuerza publica,Herido,Masculino,2.435833,-76.993056,Accidente por MAP,"(2.435833, -76.993056)",Fuerza publica
CAUCA,19256,Rural,2005,8,No,Fuerza publica,Herido,Masculino,2.435833,-76.993056,Accidente por MAP,"(2.435833, -76.993056)",Fuerza publica
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Manipulación
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Manipulación
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Manipulación
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Manipulación
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Manipulación
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Sin Información
ANTIOQUIA,5480,Rural,1993,9,No,Civil,Herido,Masculino,7.243481,-76.436166,Accidente por MUSE,"(7.243481, -76.436166)",Sin Información
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
BOLIVAR,13670,Rural,1994,3,No,Fuerza publica,Herido,Masculino,7.483919,-73.933361,Accidente por MAP,"(7.483919, -73.933361)",Fuerza publica
ANTIOQUIA,5649,Rural,2005,1,No,Fuerza publica,Herido,Masculino,6.17,-75.075,Accidente por MAP,"(6.17, -75.075)",Fuerza publica
ANTIOQUIA,5649,Rural,2005,1,No,Fuerza publica,Herido,Masculino,6.17,-75.075,Accidente por MAP,"(6.17, -75.075)",Fuerza publica
META,50350,Rural,2004,9,No,Fuerza publica,Herido,Masculino,1.763889,-74.163889,Accidente por MAP,"(1.763889, -74.163889)",Fuerza publica
META,50350,Rural,2004,9,No,Fuerza publica,Herido,Masculino,1.763889,-74.163889,Accidente por MAP,"(1.763889, -74.163889)",Fuerza publica
META,50350,Rural,2004,9,No,Fuerza publica,Herido,Masculino,1.763889,-74.163889,Accidente por MAP,"(1.763889, -74.163889)",Fuerza publica
BOLIVAR,13744,Rural,2005,3,No,Civil,Herido,Masculino,7.956662,-73.949071,Accidente por MAP,"(7.956662, -73.949071)",Sin Información
BOLIVAR,13458,Rural,1991,4,No,Civil,Herido,Masculino,8.296544,-74.473165,Accidente por MAP,"(8.296544, -74.473165)",Sin Información
ARAUCA,81065,Rural,2007,4,No,Civil,Muerto,Masculino,7.023186,-71.384978,Accidente por MAP,"(7.023186, -71.384978)","Caza, pesca"
PUTUMAYO,86571,Rural,2007,10,Indigena,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,No,Civil,Muerto,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,No,Fuerza publica,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Actividades fuerza publica
PUTUMAYO,86571,Rural,2007,10,No,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicacion de cultivos ilicitos
PUTUMAYO,86571,Rural,2007,10,Indigena,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,No,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,Indigena,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,No,Civil,Muerto,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
PUTUMAYO,86571,Rural,2007,10,No,Fuerza publica,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Actividades fuerza publica
PUTUMAYO,86571,Rural,2007,10,No,Civil,Herido,Masculino,0.964878,-76.407827,Accidente por MAP,"(0.964878, -76.407827)",Erradicador manual - PCI
ANTIOQUIA,5660,Rural,2006,7,No,Fuerza publica,Herido,Masculino,6.042723,-74.994899,Accidente por MAP,"(6.042723, -74.994899)",Fuerza publica
SANTANDER,68689,Rural,2003,1,No,Fuerza publica,Herido,Masculino,6.884411,-73.413915,Accidente por MAP,"(6.884411, -73.413915)",Fuerza publica
SANTANDER,68689,Rural,2003,1,No,Fuerza publica,Herido,Masculino,6.884411,-73.413915,Accidente por MAP,"(6.884411, -73.413915)",Fuerza publica
SANTANDER,68689,Rural,2003,1,No,Fuerza publica,Herido,Masculino,6.884411,-73.413915,Accidente por MAP,"(6.884411, -73.413915)",Fuerza publica
ARAUCA,81736,Rural,2004,12,No,Fuerza publica,Herido,Masculino,6.958339,-71.878277,Accidente por MAP,"(6.958339, -71.878277)",Fuerza publica
META,50683,Rural,2006,4,No,Civil,Herido,Masculino,3.260295,-73.88133,Accidente por MAP,"(3.260295, -73.88133)",Agricultura
MAGDALENA,47001,Rural,2001,6,No,Civil,Muerto,Masculino,11.219643,-74.225005,Accidente por MAP,"(11.219643, -74.225005)",Sin Información
ANTIOQUIA,5652,Rural,2005,7,No,Fuerza publica,Herido,Masculino,5.965414,-75.10198,Accidente por MAP,"(5.965414, -75.10198)",Fuerza publica
ANTIOQUIA,5652,Rural,2005,7,No,Fuerza publica,Herido,Masculino,5.965414,-75.10198,Accidente por MAP,"(5.965414, -75.10198)",Fuerza publica
ANTIOQUIA,5652,Rural,2005,7,No,Fuerza publica,Herido,Masculino,5.965414,-75.10198,Accidente por MAP,"(5.965414, -75.10198)",Fuerza publica
ANTIOQUIA,5652,Rural,2005,7,No,Fuerza publica,Herido,Masculino,5.965414,-75.10198,Accidente por MAP,"(5.965414, -75.10198)",Fuerza publica
ANTIOQUIA,5652,Rural,2005,7,No,Fuerza publica,Herido,Masculino,5.965414,-75.10198,Accidente por MAP,"(5.965414, -75.10198)",Fuerza publica
CAQUETA,18753,Rural,2007,3,No,Fuerza publica,Herido,Masculino,2.470556,-74.971944,Accidente por MAP,"(2.470556, -74.971944)",Fuerza publica
NORTE DE SANTANDER,54206,Rural,2002,8,No,Fuerza publica,Herido,Masculino,8.475334,-73.336059,Accidente por MAP,"(8.475334, -73.336059)",Fuerza publica
NORTE DE SANTANDER,54206,Rural,2002,8,No,Fuerza publica,Herido,Masculino,8.475334,-73.336059,Accidente por MAP,"(8.475334, -73.336059)",Fuerza publica
NORTE DE SANTANDER,54206,Rural,2002,8,No,Fuerza publica,Muerto,Masculino,8.475334,-73.336059,Accidente por MAP,"(8.475334, -73.336059)",Fuerza publica
META,50350,Rural,2006,3,No,Civil,Muerto,Masculino,2.182506,-73.784832,Accidente por MAP,"(2.182506, -73.784832)",Erradicador manual - PCI
META,50350,Rural,2006,3,No,Civil,Herido,Masculino,2.182506,-73.784832,Accidente por MAP,"(2.182506, -73.784832)",Erradicador manual - PCI
META,50711,Rural,2006,1,No,Civil,Herido,Masculino,3.092292,-73.781506,Accidente por MAP,"(3.092292, -73.781506)",Trabajos de casa
ARAUCA,81794,Rural,2006,12,No,Fuerza publica,Herido,Masculino,6.215556,-72.048056,Accidente por MAP,"(6.215556, -72.048056)",Fuerza publica
SANTANDER,68320,Rural,2003,12,No,Civil,Herido,Femenino,6.243472,-73.417838,Accidente por MUSE,"(6.243472, -73.417838)",Sin Información
TOLIMA,73563,Rural,2005,4,No,Fuerza publica,Herido,Masculino,3.7175,-74.765278,Accidente por MAP,"(3.7175, -74.765278)",Fuerza publica
TOLIMA,73563,Rural,2005,4,No,Fuerza publica,Herido,Masculino,3.7175,-74.765278,Accidente por MAP,"(3.7175, -74.765278)",Fuerza publica
SANTANDER,68780,Rural,2002,3,No,Civil,Herido,Masculino,7.371953,-72.982441,Accidente por MAP,"(7.371953, -72.982441)",Sin Información
META,50686,Rural,1998,9,No,Fuerza publica,Herido,Masculino,4.483333,-73.613889,Accidente por MAP,"(4.483333, -73.613889)",Fuerza publica
CUNDINAMARCA,25394,Rural,2002,12,No,Civil,Muerto,Femenino,5.359147,-74.390704,Accidente por MAP,"(5.359147, -74.390704)",Sin Información
ANTIOQUIA,5495,Rural,2005,4,No,Civil,Herido,Masculino,8.095854,-74.776599,Accidente por MAP,"(8.095854, -74.776599)",Sin Información
NORTE DE SANTANDER,54250,Rural,2007,12,No,Fuerza publica,Herido,Masculino,8.700556,-73.036111,Accidente por MAP,"(8.700556, -73.036111)",Fuerza publica
NORTE DE SANTANDER,54250,Rural,2007,12,No,Fuerza publica,Herido,Masculino,8.700556,-73.036111,Accidente por MAP,"(8.700556, -73.036111)",Fuerza publica
NORTE DE SANTANDER,54250,Rural,2007,12,No,Fuerza publica,Herido,Masculino,8.700556,-73.036111,Accidente por MAP,"(8.700556, -73.036111)",Fuerza publica
NORTE DE SANTANDER,54250,Rural,2007,12,No,Fuerza publica,Herido,Masculino,8.700556,-73.036111,Accidente por MAP,"(8.700556, -73.036111)",Fuerza publica
ANTIOQUIA,5001,Rural,2004,5,No,Civil,Herido,Femenino,6.229209,-75.564887,Accidente por MAP,"(6.229209, -75.564887)",Sin Información
ANTIOQUIA,5040,Rural,1999,6,No,Civil,Herido,Masculino,7.073333,-75.147222,Accidente por MAP,"(7.073333, -75.147222)",Sin Información
NARINO,52079,Rural,2005,11,No,Civil,Herido,Femenino,1.672216,-78.138537,Accidente por MAP,"(1.672216, -78.138537)","Pasando, estando cerca"
NARINO,52079,Rural,2005,11,No,Civil,Muerto,Masculino,1.672216,-78.138537,Accidente por MAP,"(1.672216, -78.138537)","Pasando, estando cerca"
CUNDINAMARCA,25649,Rural,2002,7,No,Civil,Herido,Masculino,4.178592,-74.421498,Accidente por MAP,"(4.178592, -74.421498)","Pasando, estando cerca"
ANTIOQUIA,5649,Rural,2004,7,No,Civil,Herido,Masculino,6.187566,-74.993636,Accidente por MAP,"(6.187566, -74.993636)",Área Despejada
ARAUCA,81065,Rural,2007,5,No,Fuerza publica,Herido,Masculino,6.904167,-71.429444,Accidente por MAP,"(6.904167, -71.429444)",Fuerza publica
NORTE DE SANTANDER,54344,Rural,2001,7,No,Fuerza publica,Herido,Masculino,8.321825,-73.145699,Accidente por MAP,"(8.321825, -73.145699)",Manipulación
ANTIOQUIA,5040,Rural,2004,10,No,Fuerza publica,Herido,Masculino,7.358,-75.11,Accidente por MAP,"(7.358, -75.11)",Fuerza publica
ANTIOQUIA,5736,Rural,1995,2,No,Fuerza publica,Herido,Masculino,7.080232,-74.698921,Accidente por MAP,"(7.080232, -74.698921)",Fuerza publica
META,50683,Rural,2007,1,No,Civil,Herido,Masculino,3.380464,-73.878772,Accidente por MAP,"(3.380464, -73.878772)","Pasando, estando cerca"
CAQUETA,18460,Rural,2002,3,No,Civil,Herido,Masculino,1.289829,-75.507011,Accidente por MAP,"(1.289829, -75.507011)",Sin Información
SANTANDER,68081,Rural,1992,7,No,Fuerza publica,Herido,Masculino,7.061193,-73.855997,Accidente por MAP,"(7.061193, -73.855997)",Fuerza publica
SANTANDER,68081,Rural,1992,7,No,Fuerza publica,Herido,Masculino,7.061193,-73.855997,Accidente por MAP,"(7.061193, -73.855997)",Fuerza publica
SANTANDER,68081,Rural,1992,7,No,Fuerza publica,Herido,Masculino,7.061193,-73.855997,Accidente por MAP,"(7.061193, -73.855997)",Fuerza publica
NARINO,52540,Rural,2006,9,No,Civil,Herido,Masculino,1.628192,-77.459098,Accidente por MAP,"(1.628192, -77.459098)","Pasando, estando cerca"
NARINO,52540,Rural,2006,9,No,Civil,Herido,Masculino,1.628192,-77.459098,Accidente por MAP,"(1.628192, -77.459098)","Pasando, estando cerca"
META,50711,Rural,2004,4,No,Civil,Herido,Masculino,3.125088,-73.752373,Accidente por MAP,"(3.125088, -73.752373)","Pasando, estando cerca"
BOLIVAR,13657,Rural,2007,6,No,Fuerza publica,Herido,Masculino,9.963576339,-75.08604565,Accidente por MAP,"(9.963576339, -75.08604565)",Fuerza publica
CORDOBA,23580,Rural,2007,4,No,Civil,Herido,Masculino,7.883545,-75.670508,Accidente por MAP,"(7.883545, -75.670508)",Sin Información
META,50245,Rural,2002,3,No,Fuerza publica,Herido,Masculino,4.367222222,-73.78277778,Accidente por MAP,"(4.367222222, -73.78277778)",Fuerza publica
ANTIOQUIA,5313,Rural,2003,11,No,Civil,Muerto,Femenino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
ANTIOQUIA,5313,Rural,2003,11,No,Civil,Muerto,Masculino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
ANTIOQUIA,5313,Rural,2003,11,No,Civil,Herido,Femenino,6.143703,-75.185183,Accidente por MAP,"(6.143703, -75.185183)","Pasando, estando cerca"
ANTIOQUIA,5847,Rural,2000,11,No,Fuerza publica,Herido,Masculino,6.315899,-76.134258,Accidente por MAP,"(6.315899, -76.134258)",Fuerza publica
ANTIOQUIA,5475,Rural,2004,4,No,Civil,Muerto,Masculino,6.976947,-76.818444,Accidente por MAP,"(6.976947, -76.818444)","Pasando, estando cerca"
GUAVIARE,95001,Rural,2006,8,No,Fuerza publica,Herido,Masculino,2.3025,-73.295278,Accidente por MAP,"(2.3025, -73.295278)",Fuerza publica
GUAVIARE,95001,Rural,2006,8,No,Fuerza publica,Herido,Masculino,2.3025,-73.295278,Accidente por MAP,"(2.3025, -73.295278)",Fuerza publica
GUAVIARE,95001,Rural,2006,8,No,Fuerza publica,Herido,Masculino,2.3025,-73.295278,Accidente por MAP,"(2.3025, -73.295278)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Muerto,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Muerto,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Muerto,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Muerto,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5854,Rural,2006,5,No,Fuerza publica,Herido,Masculino,7.305278,-75.2325,Accidente por MAP,"(7.305278, -75.2325)",Fuerza publica
ANTIOQUIA,5055,Rural,2002,10,No,Civil,Herido,Masculino,5.731577,-75.1416,Accidente por MAP,"(5.731577, -75.1416)",Sin Información
META,50330,Rural,2005,4,No,Civil,Herido,Masculino,3.380371,-74.042419,Accidente por MAP,"(3.380371, -74.042419)",Sin Información
CAQUETA,18256,Rural,2004,12,No,Civil,Muerto,Masculino,1.570034,-75.32675,Accidente por MAP,"(1.570034, -75.32675)",Sin Información
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Herido,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Herido,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Herido,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Muerto,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Muerto,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Herido,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Muerto,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
TOLIMA,73124,Rural,2005,5,No,Fuerza publica,Herido,Masculino,4.344167,-75.468333,Accidente por MAP,"(4.344167, -75.468333)",Fuerza publica
ANTIOQUIA,5483,Rural,2003,2,No,Civil,Muerto,Masculino,5.613291688,-75.18086715,Accidente por MAP,"(5.613291688, -75.18086715)","Pasando, estando cerca"
SANTANDER,68745,Rural,2002,6,No,Civil,Herido,Femenino,6.441321,-73.338071,Accidente por MAP,"(6.441321, -73.338071)","Pasando, estando cerca"
SANTANDER,68745,Rural,2002,6,No,Civil,Herido,Masculino,6.441321,-73.338071,Accidente por MAP,"(6.441321, -73.338071)",Agricultura
SANTANDER,68745,Rural,2002,6,No,Civil,Herido,Masculino,6.441321,-73.338071,Accidente por MAP,"(6.441321, -73.338071)","Pasando, estando cerca"
PUTUMAYO,86760,Rural,1992,11,No,Fuerza publica,Muerto,Masculino,1.146769,-77.002314,Accidente por MAP,"(1.146769, -77.002314)",Fuerza publica
CAUCA,19701,Rural,2003,10,No,Fuerza publica,Herido,Masculino,1.705556,-76.611111,Accidente por MAP,"(1.705556, -76.611111)",Fuerza publica
CAQUETA,18460,Rural,2007,9,No,Fuerza publica,Herido,Masculino,1.103056,-75.400556,Accidente por MAP,"(1.103056, -75.400556)",Fuerza publica
NORTE DE SANTANDER,54800,Rural,2006,5,No,Fuerza publica,Muerto,Masculino,8.613056,-73.201667,Accidente por MAP,"(8.613056, -73.201667)",Fuerza publica
BOLIVAR,13244,Rural,2004,7,No,Fuerza publica,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Fuerza publica
BOLIVAR,13244,Rural,2004,7,No,Fuerza publica,Herido,Masculino,9.685015,-75.122094,Accidente por MAP,"(9.685015, -75.122094)",Fuerza publica
ANTIOQUIA,5021,Rural,2000,5,No,Civil,Herido,Masculino,6.367576,-75.108735,Accidente por MAP,"(6.367576, -75.108735)",Sin Información
BOYACA,15518,Rural,2004,6,No,Fuerza publica,Herido,Masculino,5.401,-72.61,Accidente por MAP,"(5.401, -72.61)",Fuerza publica
BOYACA,15518,Rural,2004,6,No,Fuerza publica,Muerto,Masculino,5.401,-72.61,Accidente por MAP,"(5.401, -72.61)",Fuerza publica
HUILA,41020,Rural,2007,5,No,Fuerza publica,Herido,Masculino,2.523056,-75.2075,Accidente por MAP,"(2.523056, -75.2075)",Fuerza publica
NORTE DE SANTANDER,54800,Rural,2003,3,No,Civil,Herido,Masculino,8.437183,-73.287706,Accidente por MAP,"(8.437183, -73.287706)","Pasando, estando cerca"
TOLIMA,73236,Rural,2006,8,No,Fuerza publica,Herido,Masculino,3.728056,-74.704167,Accidente por MAP,"(3.728056, -74.704167)",Fuerza publica
TOLIMA,73236,Rural,2006,8,No,Fuerza publica,Herido,Masculino,3.728056,-74.704167,Accidente por MAP,"(3.728056, -74.704167)",Fuerza publica
TOLIMA,73236,Rural,2006,8,No,Fuerza publica,Herido,Masculino,3.728056,-74.704167,Accidente por MAP,"(3.728056, -74.704167)",Fuerza publica
TOLIMA,73236,Rural,2006,8,No,Fuerza publica,Herido,Masculino,3.728056,-74.704167,Accidente por MAP,"(3.728056, -74.704167)",Fuerza publica
META,50001,Rural,2004,10,No,Civil,Herido,Masculino,4.155378,-73.624479,Accidente por MAP,"(4.155378, -73.624479)",Sin Información
NORTE DE SANTANDER,54800,Rural,2005,9,No,Fuerza publica,Herido,Masculino,8.5875,-73.250833,Accidente por MAP,"(8.5875, -73.250833)",Fuerza publica
NARINO,52678,Rural,2006,9,No,Civil,Herido,Masculino,1.337083,-77.59313,Accidente por MAP,"(1.337083, -77.59313)",Sin Información
TOLIMA,73168,Rural,2007,6,No,Fuerza publica,Muerto,Masculino,3.813056,-75.609167,Accidente por MAP,"(3.813056, -75.609167)",Fuerza publica
TOLIMA,73168,Rural,2007,6,No,Civil,Muerto,Masculino,3.813056,-75.609167,Accidente por MAP,"(3.813056, -75.609167)","Pasando, estando cerca"
CAUCA,19364,Rural,2006,3,No,Fuerza publica,Herido,Masculino,2.776824,-76.324799,Accidente por MAP,"(2.776824, -76.324799)",Fuerza publica
CAUCA,19364,Rural,2006,3,No,Fuerza publica,Herido,Masculino,2.776824,-76.324799,Accidente por MAP,"(2.776824, -76.324799)",Fuerza publica
CAUCA,19364,Rural,2006,3,No,Fuerza publica,Herido,Masculino,2.776824,-76.324799,Accidente por MAP,"(2.776824, -76.324799)",Fuerza publica
